src,dst
98,10686
98,10811
98,10903
98,11338
98,11426
98,11437
98,11681
98,12001
98,12006
98,12106
98,12123
98,12185
98,12249
98,12298
98,12342
98,12424
98,12534
98,13109
98,13115
98,13181
98,13243
98,13424
98,13440
98,13878
98,14156
98,14184
98,14237
98,14274
98,14320
98,14447
98,14574
98,14594
98,14607
98,14621
98,14686
98,14832
98,14988
98,15132
98,15240
98,15351
98,15367
98,15400
99,14802
100,8517
101,7899
102,1826
102,3434
102,3647
102,8224
102,9908
102,11621
102,12398
102,13974
103,6630
103,13699
104,4445
104,13910
105,6853
106,124
106,167
106,342
106,449
106,804
106,893
106,1042
106,1133
106,1203
106,1245
106,1558
106,1601
106,1618
106,1668
106,1730
106,1766
106,1897
106,1948
106,1949
106,1997
106,2080
106,2104
106,2153
106,2249
106,2276
106,2305
106,2628
106,2692
106,2772
106,2880
106,2904
106,2949
106,3000
106,3190
106,3272
106,3286
106,3451
106,3494
106,3693
106,3872
106,4228
106,4248
106,4578
106,4724
106,4730
106,4866
106,4901
106,4986
106,4989
106,5024
106,5041
106,5344
106,5619
106,5830
106,5897
106,5979
106,6083
106,6128
106,6259
106,6309
106,6407
106,6412
106,6471
106,6785
106,6853
106,6882
106,7135
106,7161
106,7257
106,7455
106,7997
106,8084
106,8221
106,8576
106,8624
106,8692
106,8698
106,8707
106,8709
106,8711
106,8906
106,9166
106,9205
106,9477
106,9523
106,9600
106,9672
106,9849
106,9937
106,9940
106,10184
106,10203
106,10440
106,10849
106,10886
106,11295
106,11416
106,11463
106,11538
106,11561
106,11592
106,11707
106,11885
106,12165
106,12238
106,12416
106,12437
106,12442
106,12510
106,12881
106,12907
106,12953
106,13027
106,13031
106,13173
106,13535
106,13634
106,13728
106,13772
106,13835
106,13872
106,14150
106,14208
106,14756
106,15421
107,448
107,1299
107,1686
107,1730
107,2274
107,3241
107,3803
107,3921
107,4269
107,4989
107,7338
107,7811
107,8325
107,8793
107,9187
107,9449
107,10086
107,10750
107,11072
107,11468
107,12262
107,12368
107,13115
107,13673
107,14868
107,15318
108,125
108,167
108,284
108,343
108,484
108,540
108,1637
108,1730
108,1979
108,3120
108,3438
108,4192
108,4641
108,5012
108,5163
108,5429
108,5490
108,5529
108,5592
108,5953
108,6181
108,6343
108,6412
108,6547
108,7032
108,8101
108,8325
108,8393
108,8663
108,8777
108,8862
108,8990
108,9030
108,9309
108,9449
108,9594
108,9807
108,9922
108,9949
108,10458
108,11157
108,11336
108,11743
108,12485
108,13017
108,13629
108,14208
108,14467
108,14561
108,14915
108,14999
108,15030
108,15407
109,1147
109,1395
109,1589
109,3095
109,3369
109,3634
109,4248
109,4825
109,5428
109,5837
109,5886
109,6919
109,7611
109,8595
109,9837
109,11410
109,11875
109,12680
109,13356
109,14761
110,115
110,744
110,3845
110,7688
110,9139
110,9309
110,10742
110,11157
110,11475
110,13231
110,13702
110,14237
110,15380
111,455
111,1673
111,3271
111,4989
111,6345
111,6480
111,10525
